 	Lysis Plate Batch	dNTP.batch	oligodT.order.no	plate.type	preparation.site	date.prepared	date.sorted	tissue	subtissue	mouse.id	FACS.selection	nozzle.size	FACS.instument	Experiment ID 	Columns sorted	Double check	Plate	Location 	Comments
D042691	00008	505171	6/14/17 159428956	Biorad HSP3805	Biohub	6/16/2017	170627	Muscle	forelimb and hindlimb	4_24_M_P7	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA				3	MACA10_5	
D042692	00008	505171	6/14/17 159428956	Biorad HSP3805	Biohub	6/16/2017	170627	Muscle	forelimb and hindlimb	4_24_M_P7	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA				4	MACA10_5	
D042693	00008	505171	6/14/17 159428956	Biorad HSP3805	Biohub	6/16/2017	170626	Muscle	Forelimb and Hindlimb	19_22_M_P6	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp15			2	MACA10_5	
D042694	00008	505171	6/14/17 159428956	Biorad HSP3805	Biohub	6/16/2017													
D042695	00008	505171	6/14/17 159428956	Biorad HSP3805	Biohub	6/16/2017	170626	Muscle	Forelimb and Hindlimb	19_22_M_P6	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp15					
D042696	00008	505171	6/14/17 159428956	Biorad HSP3805	Biohub	6/16/2017													
D042697	00008	505171	6/14/17 159428956	Biorad HSP3805	Biohub	6/16/2017	170626	Muscle	Forelimb and Hindlimb	19_22_M_P6	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp15			3	MACA10_5	
D042698	00008	505171	6/14/17 159428956	Biorad HSP3805	Biohub	6/16/2017													
D042699	00008	505171	6/14/17 159428956	Biorad HSP3805	Biohub	6/16/2017													
D042700	00008	505171	6/14/17 159428956	Biorad HSP3805	Biohub	6/16/2017	170621	Pancreas	Endocrine	19_17_M_P3		100	Clark	exp12				MACA23_6	
D043991	00008	505171	6/14/17 159428956	Biorad HSP3805	Biohub	6/16/2017	170621	Heart	RV	4_16_M_P3		130	SIM1	exp12				MACA22_10	
D043992	00008	505171	6/14/17 159428956	Biorad HSP3805	Biohub	6/16/2017	170621	Heart	RA	4_16_M_P3		130	SIM1	exp12				MACA21_11	
D043993	00008	505171	6/14/17 159428956	Biorad HSP3805	Biohub	6/16/2017	170621	Heart	RV	19_17_M_P3		130	SIM1	exp12				MACA23_8	
D043994	00008	505171	6/14/17 159428956	Biorad HSP3805	Biohub	6/16/2017	170621	Heart	LA	19_17_M_P3		130	SIM1	exp12				MACA23_6	
D043995	00008	505171	6/14/17 159428956	Biorad HSP3805	Biohub		170621	Heart	Aorta	19_17_M_P3	Multiple	130	Sony SIM1	exp12				MACA23_2	
D043996	00008	505171	6/14/17 159428956	Biorad HSP3805	Biohub	6/16/2017	170621	Thymus	Flowthrough	4_16_M_P3	Multiple	100	Sony SIM1	exp12			2	MACA22_7	
D043997	00008	505171	6/14/17 159428956	Biorad HSP3805	Biohub	6/16/2017	170621	Heart	Aorta	4_16_M_P3	Multiple	130	Sony SIM1	exp12				MACA21_11	
D043998	00008	505171	6/14/17 159428956	Biorad HSP3805	Biohub	6/16/2017	170621	Thymus	Flowthrough	4_16_M_P3	Multiple	100	Sony SIM1	exp12			1	MACA21_10	
D043999	00008	505171	6/14/17 159428956	Biorad HSP3805	Biohub	6/16/2017	170621	Brain	Striatum	19_17_M_P3	Neurons	130	Sony SIM1	exp12			2	MACA22_14	
D044000	00008	505171	6/14/17 159428956	Biorad HSP3805	Biohub	6/16/2017	170620	Tongue	NA	19_14_M_P2							2	MACA12_7	
D044001	00008	505171	6/14/17 159428956	Biorad HSP3805	Biohub	6/16/2017	170621	Brain	Striatum	19_17_M_P3	Microglia	100	Sony SIM1	exp12				MACA23_7	
D044002	00008	505171	6/14/17 159428956	Biorad HSP3805	Biohub	6/16/2017	170621	Brain	Striatum	4_16_M_P3	Neurons	130	Sony SIM1	exp12			2	MACA22_2	
D044003	00008	505171	6/14/17 159428956	Biorad HSP3805	Biohub	6/16/2017	170620	Tongue	NA	19_14_M_P2							1	MACA12_11	
D044004	00008	505171	6/14/17 159428956	Biorad HSP3805	Biohub	6/16/2017	170620	Tongue	NA	19_15_M_P2							1	MACA13_1	
D042405	00008	505171	6/14/17 159428956	Biorad HSP3805	Biohub	6/16/2017	170621	Brain	Striatum	4_16_M_P3	Neurons	130	Sony SIM1	exp12			1	MACA22_7	
D042701	00008	505171	6/14/17 159428956	Biorad HSP3805	Biohub	6/16/2017	170621	Fat	SCAT	4_16_M_P3	Multiple	100	Sony SIM1	exp12			2	MACA22_2	
MAA000951	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Brain	Cortex	19_15_M_P2	Microglia		Sony SIM1	exp11			1	MACA12_9	
MAA000952	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170622	Muscle	Forelimb and Hindlimb	4_18_M_P4	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp13			1	MACA9_7	
MAA000953	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Fat	GAT	19_15_M_P2		100	Clark	exp11			1	MACA12_13	
MAA000954	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Fat	SCAT	19_15_M_P2		100	Clark	exp11			2	MACA12_9	
MAA000955	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170622	Muscle	Forelimb and Hindlimb	4_18_M_P4	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp13			2	MACA9_7	
MAA000956	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170622	Muscle	Forelimb and Hindlimb	4_18_M_P4	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp13			3	MACA9_7	
MAA000957	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Fat	GAT	19_15_M_P2		100	Clark	exp11			2	MACA12_13	
MAA000958	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Fat	SCAT	19_15_M_P2		100	Clark	exp11			1	MACA12_6	
MAA000959	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Fat	BAT	19_15_M_P2		100	Clark	exp11			1	MACA12_11	
MAA000960	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Fat	MAT	19_15_M_P2		100	Clark	exp11			2	MACA12_11	
MAA000961	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Fat	BAT	19_15_M_P2		100	Clark	exp11			2	MACA12_11	
MAA000962	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Fat	MAT	19_15_M_P2		100	Clark	exp11			1	MACA12_13	
MAA000963	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Brain	Cortex	19_15_M_P2		130	SIM1	exp11			2	MACA13_1	
MAA000964	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Brain	Cortex	19_14_M_P2		130	SIM1	exp11			2	MACA12_10	
MAA000965	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017													
MAA000966	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Brain	Cortex	19_15_M_P2		130	SIM1	exp11			1	MACA12_11	
MAA000967	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170623	Muscle	Diaphragm	4_21_M_P5	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp14			1	MACA9_7	
MAA000968	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170622	Muscle	Forelimb and Hindlimb	4_18_M_P4	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp13			4	MACA9_7	
MAA000969	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170623	Muscle	Diaphragm	4_21_M_P5	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp14			3	MACA9_7	
MAA000970	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170623	Muscle	Diaphragm	4_21_M_P5	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp14			2	MACA9_7	
MAA000971	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Brain	Cerebellum	19_15_M_P2	Microglia		Sony SIM1	exp11			1	MACA13_1	
MAA000972	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Brain	Cerebellum	19_14_M_P2	Microglia		Sony SIM1	exp11			1	MACA12_11	
MAA000973	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Brain	Striatum	19_14_M_P2	Neurons	130	Sony SIM1	exp11			1	MACA12_8	
MAA000974	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Brain	Hippocampus	19_15_M_P2	Microglia		Sony SIM1	exp11			1	MACA13_2	
MAA000975	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Brain	Striatum	19_14_M_P2	Neurons	130	Sony SIM1	exp11			2	MACA12_10	
MAA000976	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Brain	Cortex	19_14_M_P2	Microglia		Sony SIM1	exp11			1	MACA13_3	
MAA000977	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Brain	Cerebellum	19_15_M_P2	Neurons	130	Sony SIM1	exp11			2	MACA12_10	
MAA000978	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Brain	Striatum	19_15_M_P2	Neurons	130	Sony SIM1	exp11			2	MACA13_2	
MAA000979	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Brain	Hippocampus	19_15_M_P2	Neurons	130	Sony SIM1	exp11			2	MACA12_9	
MAA000980	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170623	Muscle	Diaphragm	4_21_M_P5	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp14			4	MACA9_7	
MAA000981	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Brain	Striatum	19_15_M_P2	Microglia		Sony SIM1	exp11			1	MACA13_2	
MAA000982	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Brain	Hippocampus	19_15_M_P2	Neurons	130	Sony SIM1	exp11			1	MACA12_9	
MAA000983	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170623	Muscle	Forelimb and Hindlimb	4_20_M_P5	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp14			1	MACA7_13	
MAA000984	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Brain	Hippocampus	19_14_M_P2	Microglia		Sony SIM1	exp11			1	MACA12_6	
MAA000985	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170623	Muscle	Forelimb and Hindlimb	4_20_M_P5	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp14			2	MACA7_13	
MAA000986	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170623	Muscle	Forelimb and Hindlimb	4_20_M_P5	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp14			4	MACA7_13	
MAA000987	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170623	Muscle	Diaphragm	4_20_M_P5	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp14			2	MACA9_9	
MAA000988	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170623	Muscle	Forelimb and Hindlimb	4_20_M_P5	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp14			3	MACA7_13	
MAA000989	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170623	Muscle	Diaphragm	4_20_M_P5	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp14			3	MACA9_9	
MAA000990	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170623	Muscle	Diaphragm	4_20_M_P5	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp14			1	MACA9_9	
MAA000991	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170622	Muscle	Forelimb and Hindlimb	19_19_M_P4	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp13			1	MACA8_11	
MAA000992	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170623	Muscle	Diaphragm	4_20_M_P5	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp14			4	MACA9_9	
MAA000993	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170622	Muscle	Forelimb and Hindlimb	19_19_M_P4	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp13			2	MACA8_11	
MAA000994	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Brain	Cerebellum	19_15_M_P2	Neurons	130	Sony SIM1	exp11			1	MACA12_6	
MAA000995	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Skin	NA	19_14_M_P2		100	Sony SIM1	exp11			1	MACA12_8	
MAA000996	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170622	Muscle	Forelimb and Hindlimb	19_19_M_P4	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp13			3	MACA8_11	
MAA000997	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170621	Muscle	Forelimb and Hindlimb	19_17_M_P3	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp12				MACA9_6	
MAA000998	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170622	Muscle	Forelimb and Hindlimb	19_19_M_P4	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp13			4	MACA8_11	
MAA000999	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Skin	NA	19_14_M_P2		100	Sony SIM1	exp11			3	MACA12_7	
MAA001000	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Skin	NA	19_15_M_P2		100	Sony SIM1	exp11			1	MACA12_9	
MAA001001	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Skin	NA	19_14_M_P2		100	Sony SIM1	exp11			2	MACA12_7	
MAA001002	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Brain	Striatum	19_15_M_P2	Neurons	130	Sony SIM1	exp11			1	MACA13_1	
MAA001003	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170621	Muscle	Forelimb and Hindlimb	19_17_M_P3	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp12			2	MACA9_6	
MAA001004	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Skin	NA	19_15_M_P2		100	Sony SIM1	exp11			2	MACA13_1	
MAA001005	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170621	Muscle	Forelimb and Hindlimb	19_17_M_P3	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp12			3	MACA9_6	
MAA001006	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170621	Muscle	Diaphragm	19_17_M_P3	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp12			4	MACA5_8	
MAA001007	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170622	Muscle	Diaphragm	4_18_M_P4	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp13			1	MACA9_7	
MAA001008	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170626	Muscle	Diaphragm	19_22_M_P6	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp15			2	MACA9_7	
MAA001009	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Fat	SCAT	19_14_M_P2		100	Sony SIM1	exp11			2	MACA12_14	
MAA001010	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170626	Muscle	Diaphragm	19_22_M_P6	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp15			3	MACA9_7	
MAA001011	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Fat	MAT	19_14_M_P2		100	Sony SIM1	exp11			2	MACA13_2	
MAA001012	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Fat	BAT	19_14_M_P2		100	Sony SIM1	exp11			2	MACA12_10	
MAA001013	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170622	Muscle	Diaphragm	HY_IP_M????							1	MACA5_8	
MAA001014	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170621	Marrow	Granulocytes	19_17_M_P3		100	Clark	exp12				MACA23_5	
MAA001015	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170622	Muscle	Diaphragm	4_18_M_P4	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp13			4	MACA5_8	
MAA001016	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170622	Muscle	Diaphragm	4_18_M_P4	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp13			3	MACA5_8	
MAA001017	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170622	Muscle	Diaphragm	19_19_M_P4	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp13			1	MACA7_13	
MAA001018	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170622	Muscle	Diaphragm	19_19_M_P4	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp13			2	MACA7_13	
MAA001019	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017												MACA21_12	
MAA001020	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170622	Muscle	Diaphragm	19_19_M_P4	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp13			3	MACA7_13	
MAA001021	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170621	Marrow	Granulocytes	4_16_M_P3		100	Clark	exp12				MACA22_10	
MAA001022	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017												MACA23_8	
MAA001023	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Brain	Cerebellum	19_14_M_P2		130	SIM1	exp11			2	MACA12_6	
MAA001024	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170621	Marrow	B cells	19_17_M_P3		100	Clark	exp12				MACA23_3	
MAA001025	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Brain	Cerebellum	19_14_M_P2		130	SIM1	exp11			1	MACA12_11	
MAA001026	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170621	Muscle	Forelimb and Hindlimb	19_17_M_P3	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp12			4	MACA9_6	
MAA001027	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Fat	MAT	19_14_M_P2		100	Sony SIM1	exp11			1	MACA12_7	
MAA001028	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170622	Muscle	Diaphragm	4_18_M_P4	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp13			2	MACA5_8	
MAA001029	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170622	Muscle	Diaphragm	19_19_M_P4	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp13			4	MACA7_13	
MAA001030	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170622	Colon	Proximal	19_19_M_P4							2	MACA22_4	
MAA001031	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170621	Marrow	B cells	4_16_M_P3		100	Clark	exp12				MACA22_10	
MAA001032	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170621	Marrow	T cells	19_17_M_P3		100	Clark	exp12				MACA21_14	
MAA001033	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Fat	BAT	19_14_M_P2		100	Sony SIM1	exp11			1	MACA12_7	
MAA001034	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170620	Fat	SCAT	19_14_M_P2		100	Sony SIM1	exp11			1	MACA12_7	
MAA001035	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017													
MAA001036	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170621	Colon	Distal	19_17_M_P3		100	Clark	exp12				MACA23_2	
MAA001037	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170621	Muscle	Forelimb and Hindlimb	4_16_M_P3	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp12			2	MACA7_13	
MAA001038	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170621	Marrow	KLS	19_17_M_P3		100	Clark	exp12				MACA23_5	
MAA001039	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170621	Muscle	Forelimb and Hindlimb	4_16_M_P3	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp12			3	MACA7_13	
MAA001040	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170621	Muscle	Forelimb and Hindlimb	4_16_M_P3	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp12			1	MACA7_13	
MAA001041	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170621	Marrow	KLS	4_16_M_P3		100	Clark	exp12				MACA22_7	
MAA001042	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170621	Muscle	Forelimb and Hindlimb	4_16_M_P3	CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+	70	Aria 3, VA	exp12			4	MACA5_8	
MAA001043	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017												MACA22_11	
MAA001044	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017												MACA22_14	
MAA001045	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017												MACA22_14	
MAA001046	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017												MACA22_9	
MAA001047	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017												MACA22_9	
MAA001048	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170621	Colon	Distal	19_17_M_P3		100	Clark	exp12				MACA23_2	
MAA001049	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017												MACA21_12	
MAA001050	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017												MACA22_9	
MAA001051	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170621	Colon	Distal	4_16_M_P3		100	Clark	exp12				Biohub_93 (poorly labeled, could also be 1091)	
MAA001052	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170621	Marrow	T cells	4_16_M_P3		100	Clark	exp12				MACA22_10	
MAA001053	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170621	Colon	Proximal	19_17_M_P3		100	Clark	exp12				MACA23_7	
MAA001054	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017												MACA22_12	
MAA001055	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017	170621	Colon	Distal	4_16_M_P3		100	Clark	exp12				MACA22_1	
MAA001056	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017												MACA22_12	
MAA001057	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017												MACA22_12	
MAA001058	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017												MACA21_12	
MAA001059	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017												MACA23_8	
MAA001060	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017												MACA22_9	
MAA001061	00009	505171	6/14/17 159428956	Biorad HSP3801	Biohub	6/19/2017												MACA22_9	
MAA001063	00010	00505171	5/23/17 FZ	Biorad HSP3801	Biohub	6/20/2017	170623	Bladder		4_20_M_P5	Multiple	100	Sony, Beckman	exp14			1	MACA12_12	
MAA001064	00010	00505171	5/23/17 FZ	Biorad HSP3801	Biohub	6/20/2017	170623	Spleen	NA	4_20_M_P5	Multiple	100	Sony, Beckman	exp14			2	MACA12_13	
MAA001065	00010	00505171	5/23/17 FZ	Biorad HSP3801	Biohub	6/20/2017	170623	Spleen	NA	4_21_M_P5	Multiple	100	Sony, Beckman	exp14			1	MACA22_6	
MAA001066	00010	00505171	5/23/17 FZ	Biorad HSP3801	Biohub	6/20/2017	170623	Spleen	NA	4_21_M_P5	Multiple	100	Sony, Beckman	exp14			2	MACA22_6	
MAA001067	00010	00505171	5/23/17 FZ	Biorad HSP3801	Biohub	6/20/2017	170623	Bladder		4_21_M_P5							1	MACA22_5	
